Bin,PCN,InsuranceShortName,RxGroup
00670000,610502,BW,RX7704
00670000,610502,BW,RX7700
00670000,610502,BW,RX7760
nan,610502,BW,RX7760
nan,610502,BW,RX7700
nan,610502,BW,nan
nan,610502,BW,193580
00670000,610502,AD,RX7704
00670000,610502,AD,RX7760
00670000,610502,AD,RX7700
MEDDAET,610502,AD,RXAETD
00670000,610502,AD,RX7720
nan,610502,AD,nan
nan,610502,AD,499665
meddaet,610502,AD,RXAETD
00670000,610502,GM,RX7704
00670000,610502,GM,RX7700
00670000,610502,GM,RX7760
00670000,610502,GM,RX7720
00670000,610502,GM,499665
WG,20099,AF,WLHA
IS,20099,AF,WXHA
nan,20099,AF,IS
WG,20099,AF,WL5A
IS,20099,AF,WLHA
nan,20099,AF,WLHA
AC,20099,AF,WLHA
nan,20099,AF,WXHA
nan,20099,AF,DHMP LA
nan,20099,AF,151643H001
WG,20099,AF,WXHA
WG,20099,AF,WL2A
WG,20099,AF,17508H103
WG,20099,AF,WL4A
WG,20099,AF,IS
CH,20099,AF,WL2A
WG,20099,AF,WLBA
WG,20099,AF,WLDA
WG,20099,AF,275730H231
WG,20099,AF,WL3A
WG,20099,AF,151643H001
WG,20099,AF,165015H001
WG,20099,AF,WLFA
WG,20099,AF,WL9A
WG,20099,AF,WLAA
9999,18141,AT,ANB
BCTX,11552,DS,1002
HMHS,610455,AU,10487179
BCTX,11552,DS,nan
BCTX,11552,DS,0021
BCTX,11552,DS,0001
HMHS,610455,AU,10496108
BCTX,11552,DS,0500
1215,11552,GX,2004
1215,11552,GX,0008
BCTX,11552,DS,0073
BCBSKS,610455,AU,MT207
BCSWY,800001,EN,10809642
BCTX,11552,DS,0002
BCTX,11552,DS,1001
77993322,26696,CA,BSCMEDD
77993322,26696,CA,nan
MEDDADV,26696,CA,RXCVSD
77993322,26696,CA,*
77993322,26696,CA,E0001000
77993322,26696,CA,W0051752
77993322,26696,CA,0001000
77993322,26696,"CA, HK",BSCMEDD
comm,611790,FQ,AL02
COMM,611790,FQ,AL02
comm,611790,FQ,174236M1A1
ADV,4336,AB,RX20CP
MEDDADV,4336,BF,RXCVSD
MEDDADV,4336,BF,RX51DE
ADV,4336,AB,RX7365
ADV,4336,AB,RX22DE
77993322,4336,AB,nan
ADV,4336,AB,RX6241
ADV,4336,AB,RX1079
ADV,4336,AB,RX0233
ADV,4336,AB,RX7363
MEDDADV,4336,AB,RXCVSD
ADV,4336,AB,RX1433
ADV,4336,AB,RX21CF
ADV,4336,AB,RX0389
ADV,4336,AB,RX4145
ADV,4336,AB,RX7669
77993322,4336,BF,nan
ADV,4336,AB,RX7154
ADV,4336,BF,RX22ET
ADV,4336,AB,RX2178
ADV,4336,AB,RX4305
ADV,4336,AB,RX1726
ADV,4336,AB,RX2169
ADV,4336,AB,RX1412
ADV,4336,AB,RX6152
ADV,4336,AB,RX23FY
MEDDADV,4336,BF,RX7117
ADV,4336,AB,RX1970
ADV,4336,AB,RX20CQ
ADV,4336,AB,RX7673
ADV,4336,AB,RX1223
ADV,4336,AB,RX0845
ADV,4336,AB,RX21ES
ADV,4336,AB,RX1123
ADV,4336,AB,RX20CY
MEDDADV,4336,BF,RX5001
ADV,4336,AB,RX6896
ADV,4336,AB,RX2408
ADV,4336,AB,RX21GX
ADV,4336,AB,RX2788
ADV,4336,AB,RX7380
ADV,4336,AB,RX4105
ADV,4336,AB,RX0139
ADV,4336,AB,RX23KC
ADV,4336,AB,RX21CW
ADV,4336,AB,RX21AE
ADV,4336,AB,RX22DK
ADV,4336,AB,RX6239
ADV,4336,AB,RX7381
ADV,4336,AB,RX23AA
ADV,4336,AB,RX23HP
ADV,4336,AB,RX0573
ADV,4336,AB,RX21EE
ADV,4336,AB,RX3175
ADV,4336,AB,RX5171
ADV,4336,AB,RX22EV
ADV,4336,AB,RX22MA
ADV,4336,AB,RX1351
ADV,4336,AB,RX21FV
ADV,4336,AB,RXCVSD
ADV,4336,AB,RX1323
ADV,4336,AB,RX0708
ADV,4336,AB,RX6706
ADV,4336,AB,RX1097
ADV,4336,AB,RX2738
ADV,4336,AB,RX0117
ADV,4336,AB,RX6483
ADV,4336,AB,RX3230
ADV,4336,AB,RX22EU
ADV,4336,AB,RX1359
ADV,4336,AB,RX21AM
ADV,4336,AB,RX0522
ADV,4336,AB,RX0412
ADV,4336,AB,RX0768
ADV,4336,AB,RX2222
ADV,4336,AB,RX0274
ADV,4336,AB,RX3267
ADV,4336,AB,RX3893
ADV,4336,AB,RX7546
ADV,4336,AB,RX5158
ADV,4336,AB,RX22FZ
ADV,4336,AB,RX7640
ADV,4336,AB,RX2653
ADV,4336,AB,RX0403
ADV,4336,AB,RX1340
ADV,4336,AB,RX0532
ADV,4336,AB,RX33BC
ADV,4336,AB,RX1342
ADV,4336,AB,RX0471
ADV,4336,AB,RX3826
ADV,4336,AB,RX7149
ADV,4336,AB,RX3569
ADV,4336,AB,RX1797
ADV,4336,AB,RX1747
ADV,4336,AB,RX23MB
ADV,4336,AB,RX1434
ADV,4336,AB,RX0627
ADV,4336,AB,RX1086
ADV,4336,AB,RX1386
ADV,4336,AB,RX0133
ADV,4336,AB,RX0583
ADV,4336,AB,RX2334
ADV,4336,AB,RX2968
ADV,4336,AB,RX3963
ADV,4336,AB,RX6293
ADV,4336,AB,RX5175
ADV,4336,AB,RX1151
ADV,4336,AB,RX4497
ADV,4336,AB,RX7212
ADV,4336,AB,RX1258
ADV,4336,AB,RX1371
ADV,4336,AB,RX22EW
ADV,4336,AB,RX7517
ADV,4336,AB,RX6822
ADV,4336,AB,RX7648
ADV,4336,AB,RX22FT
ADV,4336,AB,RX22ET
ADV,4336,AB,RX23EG
ADV,4336,AB,RX3140
ADV,4336,AB,RX22UA
ADV,4336,AB,RX6530
ADV,4336,AB,RX7649
ADV,4336,AB,RX0102
ADV,4336,AB,RX0158
ADV,4336,AB,RX1094
ADV,4336,AB,RX21EX
ADV,4336,AB,RX2223
77993322,4336,AB,*
MEDDADV,4336,BF,RX51DG
ADV,4336,AB,RX22BD
ADV,4336,AB,RX24EK
ADV,4336,AB,RX2129
ADV,4336,AB,RX6382
ADV,4336,AB,RX6370
ADV,4336,AB,RX24EW
ADV,4336,AB,RX23BU
ADV,4336,AB,RX21DT
ADV,4336,AB,RX1263
ADV,4336,AB,RX23EU
ADV,4336,AB,RX23JG
ADV,4336,AB,RX0582
ADV,4336,AB,RX21GW
ADV,4336,AB,RX0878
ADV,4336,AB,RX23HW
ADV,4336,AB,RX6098
ADV,4336,AB,RX2355
ADV,4336,AB,RX0570
ADV,4336,AB,RX0653
ADV,4336,AB,RX1056
01410000,603286,ED,512331
CIMCARE,17010,AM,CIGPDPRX
6792000,17449,BL,PRXPIN
0215COMM,17010,AM,CIGUG0003343999
0215COMM,17010,AM,CIGUG0000636217
0215COMM,17010,AM,CIGUG0000637175
0215COMM,17010,AM,CIGUG0003341877
0518GWH,17010,AM,00637013
0215COMM,17010,AM,CIGUG0003341740
0215COMM,17010,AM,CIGUG0000633071
0215COMM,17010,AM,CIGUG0003345565
0215COMM,17010,AM,CIGUG0003334519
0215COMM,17010,AM,CIGUG0003327992
nan,17010,AM,CIGUG0003212364
nan,17010,AM,CIGUG0003345374
0215COMM,17010,AM,CIGUG0000637596
0215COMM,17010,AM,CIGUG0002500521
0215COMM,17010,AM,CIGUG0000651646
nan,17010,AM,CIGUG0003345796
CIMCARE,17010,AM,CIGUG0003328648
0215COMM,17010,AM,CIGUG0003343283
0215COMM,17010,AM,CIGUG0003345374
CIMCARE,17010,AM,CIGUG0003345796
0518GWH,17010,GO,00619227
0215COMM,17010,AM,CIGUG0003340374
CIMCARE,17010,AM,CIGUG0003212364
0518GWH,17010,GO,00611929
0518GWH,17010,GO,00635784
0518GWH,17010,GO,CIGUG0000636816
0518GWH,17010,GO,CIGUG0000651646
0518GWH,17010,GO,CIGUG0000652078
0518GWH,17010,GO,00639041
0518GWH,17010,GO,CIGUG0000652188
0518GWH,17010,GO,CIGUG0000635786
0215COMM,17010,AM,CIGUG0002499838
0518GWH,17010,GO,CIGUG0000651894
0518GWH,17010,GO,CIGUG0000652300
0518GWH,17010,GO,00183085
0518GWH,17010,GO,CIGUG0000616948
0518GWH,17010,GO,CIGUG0000623312
0518GWH,17010,GO,CIGUG0000627991
0518GWH,17010,GO,CIGUG0000652482
0518GWH,17010,GO,CIGUG0000606378
0518GWH,17010,GO,CIGUG0000650059
0518GWH,17010,GO,CIGUG0000623738
05440000,15599,BO,nan
CAL,4261,BM,nan
A4,3858,CG,VCHA
A4,3858,CG,DODA
A4,3858,CG,K6XA
A4,3858,CG,2CTA
A4,3858,CG,FARMERX
A4,3858,CG,LCBA
A4,3858,CG,CIOSCRX
A4,3858,CG,TRGTRX1
A4,3858,CG,SCECOMM
nan,610575,DJ,LAF1014
A4,3858,CG,WILEARX
A4,3858,CG,VETERAN
A4,3858,CG,ALCNRX1
A4,3858,CG,2CVA
A4,3858,CG,DAVITRX
nan,610575,DJ,SWCFRX1
A4,3858,CG,ENGLAND
A4,3858,CG,AMAZON1
A4,3858,CG,SPACEX1
A4,3858,CG,ANDURIL
A4,3858,CG,REDBULL
A4,3858,CG,PENA
A4,3858,CG,AMENTUM
A4,3858,CG,KINDERX
A4,3858,CG,ENTA
A4,3858,CG,WFLEET1
A4,3858,CG,AK5A
A4,3858,CG,BPDA
HZRX,16499,BI,00760530103001
HZRX,16499,BI,00763390009001
03200000,15581,AJ,Y9623
03200000,15581,AJ,nan
03200000,15581,AJ,Y0967
03200000,15581,AJ,P5388
03200000,15581,AJ,Y0552
03200000,15581,AJ,P5347
03200000,15581,AJ,Y9778
03200000,15581,AJ,5A962
03200000,15581,AJ,HUMANA
VA,610593,BP,HAC
VA,610593,BP,CHAMPVA
PEU,610014,AO,VCHA
PEU,610014,AO,NXS000001924907
PEU,610014,AO,AK5A
PEU,610014,AO,FMEXAC9ANT
PEU,610014,AO,JMACTSHWARREN01
PEU,610014,AO,RXBBOSL
PEU,610014,AO,AMGENRX
PEU,610014,AO,CONPPO8001
PEU,610014,AO,OXYN000
PEU,610014,AO,AMGSTDPPOSBSB3
PEU,610014,AO,1239642800
PEU,610014,AO,WXS000016790882
PEU,610014,AO,35242RX
COPAY,610014,AO,EXS000000073665
PEU,610014,AO,NATLELV
PEU,610014,AO,LAFD100
PEU,610014,AO,VERIZON
PEU,610014,AO,FMCRX06
PEU,610014,AO,TTINARX
PEU,610014,AO,ENVOYRX
PEU,610014,AO,RXBSUNR
PEU,610014,AO,LAF1014
PEU,610014,AO,1855RD
PEU,610014,AO,RXS4PHS
PEU,610014,AO,LAC0101
PEU,610014,AO,RX4EIAH
PEU,610014,AO,VGNANBUACTVSAL
PEU,610014,AO,VOLVORX
PEU,610014,AO,THERMRX
PEU,610014,AO,RX4CAHP
PEU,610014,AO,CBEBT01
PEU,610014,AO,76414649A02
PEU,610014,AO,BROOME9
PEU,610014,AO,GAGROUP
PEU,610014,AO,CGGROUP
PEU,610014,AO,RRW0000
PEU,610014,AO,CT1839
PEU,610014,AO,REI1938
PEU,610014,AO,FXS000000438152
PEU,610014,AO,LNERX01
PEU,610014,AO,GROUPRX
PEU,610014,AO,HASBRO1
PEU,610014,AO,RXBLIDH
PEU,610014,AO,RXBMCSG
PEU,610014,AO,HMRK001
PEU,610014,AO,ZURNARX
PEU,610014,AO,ALAM0000
PEU,610014,AO,CHUBBRX
PEU,610014,AO,SAUSDRX
PEU,610014,AO,SWCHWRX
nan,610014,AC,LAFD100
nan,610014,AC,WELLRX2
nan,610014,AC,VCHA
nan,610014,AC,FARMERX
nan,610014,AC,NXS000001924907
nan,610014,AC,ZMHRXS1
nan,610014,AC,ALAM0000
nan,610014,AC,SWCHWRX
nan,610014,AC,CGGROUP
nan,610014,AC,AMGENRX
nan,610014,AC,CIGUG0003341740
nan,610014,AC,VERIZON
nan,610014,AC,8XS000016750734
nan,610014,AC,270063M9CI
nan,610014,AC,LAC0101
nan,610014,AC,NFPCORP
nan,610014,AC,ZIMVIE
PEU,610014,AC,CGGROUP
COBSEG,610014,AC,BCWAPDP
nan,610014,AC,EJRXPLAN
nan,610014,AC,RXS4PHS
MD,3858,AQ,AN9A
VENTEG,12528,CC,HFHVEN
EGWP,610602,FA,SISC
nan,610602,AG,SISC
NVT,610602,AG,SISC
EGWP,610602,AG,SSC669746P01101
EGWP,610602,FA,UCAAD
NVT,610602,AG,TCFA
EGWP,610602,AG,UCAAD
EGWP,610602,FA,SSC4R001A
NVT,610602,AG,UCA
nan,610602,AG,NVT
NVTD,610602,AG,SISC
NVT,610602,AG,COT
EGWP,610602,FA,NCRX
EGWP,610602,FA,NCRX GROUP ID
IRX,610011,AH,CALPUHC
IRX,610011,AH,UCSHIP
IRX,610011,AH,SCLF
IRX,610011,AH,IUOE12
CTRXMEDD,610011,AH,EGWPS032
IRX,610011,AH,HC8HCA
IRX,610011,AH,CALPANTP
IRX,610011,AH,TENET
IRX,610011,AH,RXBENHOSP
IRX,610011,AH,CALPHLNT
IRX,610011,AH,RXBENEFIT
IRX,610011,AH,CALPANTH
IRX,610011,AH,SGPUB
IRX,610011,AH,QLCOMM
IRX,610011,AH,FEDEX
IRX,610011,AH,SITEONE
IRX,610011,AH,FANATICS
IRX,610011,AH,LEGENDS
IRX,610011,AH,CALPBSCP
IRX,610011,AH,ESLUXC
IRX,610011,AH,CT1OMHT20
IRX,610011,AH,ADHEALTH
IRX,610011,AH,PENNY
IRX,610011,AH,TPUTAKEDA
IRX,610011,AH,PRIMEHC
IRX,610011,AH,NARASIWF
IRX,610011,AH,LEVICO
IRX,610011,AH,EGWPS032
IRX,610011,AH,UKG
IRX,610011,AH,CIOX
IRX,610011,AH,BSCI
IRX,610011,AH,DUDA
IRX,610011,AH,CT1RHMC20
IRX,610011,AH,CT1CFIW21
IRX,610011,AH,CT1GEOD20
IRX,610011,AH,OMNICOM
IRX,610011,AH,TORRID
IRX,610011,AH,CT1CACO20
IRX,610011,AH,VPSRX
IRX,610011,AH,CTTDS
IRX,610011,AH,HOTWIRE
IRX,610011,AH,JJSNACK
IRX,610011,AH,MEDLINE
IRX,610011,AH,SMW104D1
IRX,610011,AH,AUTOZONE
IRX,610011,AH,TNYHT
9999,610097,AS,SHCA
9999,610097,AS,PDPIND
9999,610097,AS,MPDURSN
9999,610097,AS,MPDURS
9999,610097,AS,PDPLCE1
9999,610097,AS,UAWP
9999,610097,AS,COS
9999,610097,AS,PDP9URS
prx,610210,FJ,FCMKT
,0,X,ACDO10473
nan,0,X,SWCHWRX
,0,X,SWCHWRX
,0,X,9600001000
,0,X,UXSWCP017000791
nan,610020,EA,BTN22
cwhs,16127,DW,VNAA
CWHS,16127,DW,VNAA
PRS,17051,AX,1144WA
PRS,17051,AX,nan
PRS,17051,CK,7950
PRS,17051,AX,8597
PRS,17051,AX,7944
9999,610494,BN,ETNRX
01960000,610127,BR,01962191
9999,610494,BN,LABCORP
9999,610494,BN,ILWU
9999,610494,BN,BSGS
01960000,610127,BR,01961079
9999,610494,BN,SCS
9999,610494,BN,SCLI
01960000,610127,BR,01964464
01960000,610127,GI,01964214
9999,610494,BN,RJFRX
9999,610494,BN,TMS
01960000,610127,GI,01961079
9999,610494,BN,RXS
01960000,610127,GZ,01963989
9999,610494,BN,PSP
01960000,610127,GI,01963490
01960000,610127,GZ,01964294
9999,610494,BN,OE501
9999,610494,BN,AARPRX1
01960000,610127,GZ,01961079
9999,610494,BN,CEMENT
01960000,610127,BR,01963689
01960000,610127,GZ,01960853
9999,610494,BN,SYLVRX
A4,3858,AA,VETERAN
A4,3858,AA,DODA
A4,3858,AA,CHLARX1
A4,3858,AA,VCHA
A4,3858,AA,HMRK001
A4,3858,AA,DDASHRX
A4,3858,AA,2CTA
9999,610279,AI,UHCNICE
9999,610279,AI,UHEALTH
9999,610279,AI,USHG
9999,610279,AI,UNITEDRX
9999,610279,AI,UHC
9999,610279,AI,CODRPLAN
9999,610279,AI,UGRI
9999,610279,AI,SRS
9999,610279,AI,U0186359
9999,610279,AI,UHEALTHTWINS
