,bin,pcn,description,help_desk_number,ncpdp_version,plan_type,pricing_formula,dir_fee,shortnames (Ins)
3545,18448,66202303,,,D0,  ,INS,,
3601,610237,123119,,,D0,  ,INS,,
3657,4336,IS,Caremark,(800) 364-6331,D0,Medicare,INS,,BF
3658,4336,WG,Caremark,,D0,  ,INS,,BF
3659,610210,prx,Paramount Rx,          ,D0,  ,INS,,FJ
3660,4336,PARTBADV,,,D0,  ,INS,,
3716,20958,7960000,,,D0,  ,INS,,
3772,21825,IRX,,,D0,  ,INS,,
3828,5377,10000019,,,D0,  ,INS,,
3884,0,,,,D0,  ,INS,,
3940,21205,,,,D0,  ,INS,,
3996,611790,comm,Capital Rx,          ,D0,  ,INS,,FQ
3997,15839,,,,D0,  ,INS,,
4053,610852,,,,D0,  ,INS,,
4109,25201,MOHMKP,,,D0,  ,INS,,
4165,610494,,,,D0,  ,INS,,
4221,20115,NS,,,D0,  ,INS,,
4277,3858,MA,,(800) 824-0898,D0,  ,INS,,
4333,14179,9743,,,D0,  ,INS,,
4389,0,OHCP,,,D0,  ,INS,,
4445,601341,,,,D0,  ,INS,,
4501,9430,,,,D0,  ,INS,,
4557,17010,cimcare,,,D0,  ,INS,,
4613,17010,CIMCARE,,,D0,  ,INS,,
4669,3585,28914,,,D0,  ,INS,,
4725,610852,CHM,,,D0,  ,INS,,
4781,17010,0215COMM,,,D0,  ,INS,,
4837,1553,INM,,,D0,  ,INS,,
4893,20099,IS,,,D0,  ,INS,,
4949,610127,1960000,Prescription Solutions,,D0,  ,INS,,BN
4950,610602,NVT,,,D0,  ,INS,,
5006,12114,COBCRK,Caremark,,D0,  ,INS,,BF
5007,24251,OHRXPFFS,,,D0,  ,INS,,
5063,610502,670000,Aetna Medicare,,D0,  ,INS,,AD
5064,610014,A4,MEDCO MEDICARE PART D,,D0,  ,INS,,AC
5065,17010,0518GWH,Cigna,,D0,  ,INS,,AM
5066,610228,PRS,,,D0,  ,INS,,
5122,17051,PRS,,,D0,  ,INS,,
5178,17366,9999,,,D0,  ,INS,,
5290,22022,ICS,,,D0,  ,INS,,
5346,600426,54,BOTOX SAVINGS,(800) 433-4893,D0,  ,INS,,
5347,20099,CH,,,D0,  ,INS,,
5403,17010,2150000,,,D0,  ,INS,,
5459,11552,1215,Blue Cross Blue Shield,(800) 821-4795,D0,  ,INS,,DS
5460,610548,servu,,          ,D0,  ,INS,,
5516,610127,1960000,Prescription Solutions,          ,D0,  ,INS,,BN
5517,25169,AMWINS,,,D0,  ,INS,,
5573,11552,BOE,,,D0,  ,INS,,
5629,24160,14032015,,,D0,  ,INS,,
5685,610770,MPPPCRX,,          ,D0,  ,INS,,
5741,610268,,,,D0,  ,INS,,
5853,610014,,,,D0,  ,INS,,
5909,610770,CRXMD,,          ,D0,  ,INS,,
5965,4336,77993322,,,D0,  ,INS,,
6021,17010,0519PAYR,,,D0,  ,INS,,
6077,26696,MPPP3322,Caremark MPPP,          ,D0,  ,INS,,
6134,26696,77993333,,,D0,  ,INS,,
6190,0,          ,PF - DEFAULT         ,                                                            ,,  ,X ,,X 
6191,0,          ,PF - RxNet           ,                                                            ,,  ,X0,,
