drug_name,ndc,form,strength,mfg,acq,awp,dispensed,p_update,rxCUI,epc_class,drug_class
MICOTRIN AP  POW 2%,59088-0478-07,POWD,2%,PURE TEK,125,552.5,0:00:00,09-14-23,998461,ANTI-FUNGAL (POWD),Antifungal (POWD) (POWD)
NYSTOP       POW 100000,00574-2008-30,POWD,100000,PADAGIS,15.49,53.82,0:00:00,02-28-24,261178,ANTI-FUNGAL (POWD),Antifungal (POWD) (POWD)
NYSTATIN     POW 100000,69315-0306-15,POWD,100000,LEADING PH,7.99,23.28,0:00:00,01-18-24,646456,ANTI-FUNGAL (POWD),Antifungal (POWD) (POWD)
SULCONAZOLE  SOL 1%,72143-0321-30,SOLN,1%,JG PHARMA,260.42,416.66,0:00:00,10-18-21,313125,ANTI-FUNGAL (SOLN),Antifungal (SOLN) (SOLN)
CLOTRIMAZOLE SOL 1%,51672-1260-03,SOLN,1%,TARO ,10.47,74.73,11-23-24,08-29-24,309370,ANTI-FUNGAL (SOLN),Antifungal (SOLN) (SOLN)
CICLOPIROX   SOL 8%,42192-0715-06,SOLN,8%,ACELLA PH,6.75,179,11-23-24,08-29-24,309291,ANTI-FUNGAL (NAIL) (SOLN),Antifungal (SOLN) (SOLN)
ITRACONAZOLE SOL 10MG/ML,31722-0006-31,SOLN,10MG/ML,CAMBER PHA,115,370.13,0:00:00,10-14-21,348506,ANTI-FUNGAL (SOLN),Antifungal (SOLN) (SOLN)
TAVABOROLE   SOL 5%,68180-0958-02,SOLN,5%,LUPIN PHRM,15.38,1541.07,0:00:00,01-31-22,1543177,ANTI-FUNGAL (SOLN),Antifungal (SOLN) (SOLN)
TAVABOROLE   SOL 5%,72763-0201-10,SOLN,5%,ESTRENO PH,670,1541.07,0:00:00,03-12-21,1543177,ANTI-FUNGAL (SOLN),Antifungal (SOLN) (SOLN)
CICLOPIROX   SOL 8%,00713-0317-88,SOLN,8%,COSETTE PH,7.06,60.18,0:00:00,04-16-21,309291,ANTI-FUNGAL (NAIL) (SOLN),Antifungal (SOLN) (SOLN)
CLOTRIMAZOLE SOL 1%,50228-0502-61,SOLN,1%,SCIEGEN PH,365,969.63,0:00:00,11-05-24,309370,ANTI-FUNGAL (SOLN),Antifungal (SOLN) (SOLN)
TM-TOLNAFTAT LIQ 1%,83035-1260-03,SOLN,1%,SINGULAR D,0,45,0:00:00,02-27-24,313423,ANTIFUNGAL (SOLN),Antifungal (SOLN) (SOLN)
MYcOZYL AL    SOL 1%,59088-0443-03,SOLN,1%,PURE TEK,750,2250,12-31-21,08-12-21,313423,ANTIFUNGAL (SOLN),Antifungal (SOLN) (SOLN)
JUBLIA       SOL 10%,00187-5400-04,SOLN,10%,BAUSCH HEA,782.97,912.72,0:00:00,01-06-24,1539762,ANTI-FUNGAL (SOLN),Antifungal (SOLN) (SOLN)
CICLOPIROX   SOL 8%,50383-0419-06,SOLN,8%,HI-TECH,6,60.18,0:00:00,03-17-21,309291,ANTI-FUNGAL (NAIL) (SOLN),Antifungal (SOLN) (SOLN)
TAVABOROLE   SOL 5%,21922-0020-12,SOLN,5%,ENCUBE ETH,21.95,1541.07,11-23-24,08-29-24,1543177,ANTI-FUNGAL (SOLN),Antifungal (SOLN) (SOLN)
MICOTRIN AL  LIQ 1%,59088-0477-03,SOLN,1%,PURE TEK,0,2250,0:00:00,09-15-23,313423,ANTIFUNGAL (SOLN),Antifungal (SOLN) (SOLN)
CICLOPIROX   SUS 0.77%,69315-0309-60,SUSP,0.77%,LEADING PH,49.85,108,0:00:00,04-22-22,309290,ANTI-FUNGAL (SUSP),Antifungal (SUSP) (SUSP)
GRISEOFULVIN SUS 125/5ML,00713-0850-04,SUSP,125/5ML,COSETTE PH,32.5,108,0:00:00,11-14-24,239238,ANTIFUNGAL (SUSP),Antifungal (SUSP) (SUSP)
KETOCONAZOLE AER 2%,45802-0532-32,FOAM,2%,PERRIGO,155,708.36,04-07-21,03-22-21,728550,Topical Anti-Fungal,Antifungal Foam (FOA)
KETOCONAZOLE AER 2%,70700-0160-20,FOAM,2%,XIROMED,236.5,828.98,11-22-24,07-17-24,728550,Topical Anti-Fungal,Antifungal Foam (FOA)
KETOCONAZOLE AER 2%,45802-0532-33,FOAM,2%,PERRIGO,239.98,828.99,10-09-24,08-29-24,728550,Topical Anti-Fungal,Antifungal Foam (FOA)
KETOCONAZOLE AER 2%,00378-7007-01,FOAM,2%,MYLAN,317.12,828.98,02-09-22,07-15-21,728550,Topical Anti-Fungal,Antifungal Foam (FOA)
ECOZA        AER 1%,23710-0100-70,FOAM,1%,RESILIA PH,0,732.83,0:00:00,06-09-23,1442590,Topical Anti-Fungal,Antifungal Foam (FOA)
CICLOPIROX   SHA 1%,51672-1351-08,SHAM,1%,TARO ,11.5,151.29,11-22-24,08-29-24,250344,Anti-Fungal Shampoo,Antifungal Shampoo (SHA)
KETOCONAZOLE SHA 2%,63646-0010-04,SHAM,2%,TOLMAR,9.99,23.58,11-04-24,08-30-24,106336,Anti-Fungal Shampoo,Antifungal Shampoo (SHA)
KETOCONAZOLE SHA 2%,45802-0465-64,SHAM,2%,TOLMAR,6.25,30.25,11-23-24,08-29-24,106336,Anti-Fungal Shampoo,Antifungal Shampoo (SHA)
CICLOPIROX   SHA 1%,45802-0401-09,SHAM,1%,PERRIGO,19.99,93.6,11-23-24,08-29-24,250344,Anti-Fungal Shampoo,Antifungal Shampoo (SHA)
BIMATOPROST  SOL 0.03%,50383-0912-03,SOLN,0.03%,AKORN,32.33,138.87,0:00:00,03-01-23,1041495,ANTIGLAUCOMA (SOLN),Antiglaucoma (SOLN) (SOLN)
BIMATOPROST  SOL 0.03%,00781-6206-93,SOLN,0.03%,SANDOZ,58.3,144.65,07-29-24,08-29-24,1041495,ANTIGLAUCOMA (SOLN),Antiglaucoma (SOLN) (SOLN)
BIMATOPROST  SOL 0.03%,50383-0912-03,SOLN,0.03%,AKORN,32.33,138.87,0:00:00,03-01-23,1041495,ANTIGLAUCOMA (SOLN),Antiglaucoma (SOLN) (SOLN)
BIMATOPROST  SOL 0.03%,00781-6206-93,SOLN,0.03%,SANDOZ,58.3,144.65,07-29-24,08-29-24,1041495,ANTIGLAUCOMA (SOLN),Antiglaucoma (SOLN) (SOLN)
LEVOCETIRIZI POW DHCL,15455-0200-01,POWD,DHCL,ALVIX LABO,47,2233,0:00:00,05-10-21,1436018,ANTIHISTAMINE (POWD),Antihistamine (POWD) (POWD)
CLEMASTINE   SYP 0.5/5ML,73308-0358-12,SYRP,0.5/5ML,AYURAX,425,2143.54,09-16-24,09-04-24,857430,ANTIHISTAMINES (SYRP),Antihistamines (SYRP) (SYRP)
CHOLESTYRAM  POW 4GM LITE,42806-0270-95,PACK,4GM LITE,EPIC PHARM,27.99,201.06,0:00:00,11-05-24,1801279,ANTIHYPERLIPIDEMIC (PACK),Antihyperlipidemic (PACK) (PACK)
SULFAC SULFR PAD 9.8-4.8%,52187-0552-60,PADS,9.8-4.8%,KMM PHARMA,110,721.92,0:00:00,10-25-22,1494170,KERATOLYTIC (PADS),Antipsoriatic (PADS) (PADS)
GLYDO        GEL 2%,25021-0673-77,PRSY,2%,,63.17,76.2,0:00:00,01-12-22,1549447,KERATOLYTIC (PRSY),Antipsoriatic (PRSY) (PRSY)
Salicylic Acid 28.5% Topical Solution,52187-0522-10,Sol,28.50%,   ,0,272.83,0:00:00,05-31-23,1487371,KERATOLYTIC (SOL),Antipsoriatic (SOL) (SOL)
CALCIPOTRIEN SOL 0.005%,00115-1475-55,SOLN,0.01%,AMNEAL,22.99,339.98,0:00:00,09-15-21,340724,IMMUNE RESPONSE MOD (SOLN),Antipsoriatic (SOLN) (SOLN)
CALCIPOTRIEN SOL 0.005%,00713-0318-53,SOLN,0.01%,COSETTE PH,142.09,339.89,0:00:00,07-22-24,308865,IMMUNE RESPONSE MOD (SOLN),Antipsoriatic (SOLN) (SOLN)
CANTHARIDIN  SOL 0.7%,71449-0102-36,SOLN,0.70%,LEITERS HE,0,234,0:00:00,10-11-23,244521,KERATOLYTIC (SOLN),Antipsoriatic (SOLN) (SOLN)
CALCIPOTRIEN SOL 0.005%,00713-0318-53,SOLN,0.01%,COSETTE PH,142.09,339.89,0:00:00,07-22-24,308865,IMMUNE RESPONSE MOD (SOLN),Antipsoriatic (SOLN) (SOLN)
CALCIPOTRIEN SOL 0.005%,00115-1475-55,SOLN,0.01%,AMNEAL,22.99,339.98,0:00:00,09-15-21,340724,IMMUNE RESPONSE MOD (SOLN),Antipsoriatic (SOLN) (SOLN)
UREA HYDRATI AER 35%,42192-0115-15,FOAM,35%,ACELLA PH,0,371.95,0:00:00,03-04-21,849646,Topical Medication,Antipsoriatic Foam (FOA)
ENZOCLEAR    AER 9.8%,73159-0001-01,FOAM,9.80%,LACER PHAR,0,1695.45,0:00:00,03-17-21,2180350,Topical Medication,Antipsoriatic Foam (FOA)
CALCIPOTRIEN AER 0.005%,73352-0886-60,FOAM,0.01%,TRIFLUENT,199,881.32,01-23-23,02-01-22,1020035,Topical Medication,Antipsoriatic Foam (FOA)
SALICYLIC    AER 6%,42192-0112-70,FOAM,6%,ACELLA PH,162.01,256,0:00:00,01-05-23,790884,Topical Medication,Antipsoriatic Foam (FOA)
SALICYLIC AC SHA 6%,42546-0279-06,SHAM,6%,PRUGEN,20,442.56,07-21-22,02-18-22,667904,Shampoo,Antipsoriatic Shampoo (SHA)
KERALYT      SHA 6%,11086-0043-06,SHAM,6%,SUMMERS,48.41,56.4,0:00:00,01-03-23,999618,Shampoo,Antipsoriatic Shampoo (SHA)
ALBUTEROL    AER HFA,00054-0742-87,AERS,HFA,HIKMA PHAR,10.98,90.9,0:00:00,10-20-22,2123111,BRONCHODILATOR (AERS),Bronchodilator (AERS) (AERS)
ALBUTEROL    AER HFA,00054-0742-87,AERS,HFA,HIKMA PHAR,10.98,90.9,0:00:00,10-20-22,2123111,BRONCHODILATOR (AERS),Bronchodilator (AERS) (AERS)
ALBUTEROL    AER HFA,00781-7296-85,AERS,HFA,SANDOZ,10.25,44.98,0:00:00,10-20-22,2123111,BRONCHODILATOR (AERS),Bronchodilator (AERS) (AERS)
ALBUTEROL    AER HFA,00781-7296-85,AERS,HFA,SANDOZ,10.25,44.98,0:00:00,10-20-22,2123111,BRONCHODILATOR (AERS),Bronchodilator (AERS) (AERS)
ALBUTEROL    AER HFA,68180-0963-01,AERS,HFA,LUPIN PHRM,15.65,74.02,0:00:00,10-20-22,2123072,BRONCHODILATOR (AERS),Bronchodilator (AERS) (AERS)
ALBUTEROL    AER HFA,00054-0742-87,AERS,HFA,HIKMA PHAR,10.98,90.9,0:00:00,10-20-22,2123111,BRONCHODILATOR (AERS),Bronchodilator (AERS) (AERS)
ALBUTEROL    AER HFA,00781-7296-85,AERS,HFA,SANDOZ,10.25,44.98,0:00:00,10-20-22,2123111,BRONCHODILATOR (AERS),Bronchodilator (AERS) (AERS)
ALBUTEROL    AER HFA,68180-0963-01,AERS,HFA,LUPIN PHRM,15.65,74.02,0:00:00,10-20-22,2123072,BRONCHODILATOR (AERS),Bronchodilator (AERS) (AERS)
ALBUTEROL    AER HFA,68180-0963-01,AERS,HFA,LUPIN PHRM,15.65,74.02,0:00:00,10-20-22,2123072,BRONCHODILATOR (AERS),Bronchodilator (AERS) (AERS)
ALBUTEROL    NEB 1.25MG/3,00487-9904-01,NEBU,1.25MG/3,NEPHRON,14,47.81,0:00:00,10-20-22,351136,BRONCHODILATOR (NEBU),Bronchodilator (NEBU) (NEBU)
FLUOROURACIL SOL 5%,51672-4063-01,SOLN,5%,TARO ,0,111.33,0:00:00,09-01-23,310380,CHEMO CREAM (FLUOROURACIL) (SOLN),Chemo Cream (Fluorouracil) (SOLN) (SOLN)
PODOFILOX    SOL 0.5%,00574-0611-05,SOLN,0.50%,PADAGIS,36.19,108.15,08-14-23,12-12-22,582926,CHEMO CREAM (SOLN),Chemo Cream (SOLN) (SOLN)
SOD SUL/SULF EMU 10-5%,42192-0136-08,EMUL,10-5%,ACELLA PH,0,406.88,0:00:00,06-01-21,999613,FACEWASH (EMUL),Cleanser (EMUL) (EMUL)
SOD SUL/SULF EMU 10-5%,42192-0136-06,EMUL,10-5%,ACELLA PH,13,104.93,11-23-24,08-29-24,999613,FACEWASH (EMUL),Cleanser (EMUL) (EMUL)
SOD SUL/SULF EMU 10-5%,42192-0136-08,EMUL,10-5%,ACELLA PH,0,406.88,0:00:00,06-01-21,999613,FACEWASH (EMUL),Cleanser (EMUL) (EMUL)
SOD SUL/SULF EMU 10-5%,42192-0136-06,EMUL,10-5%,ACELLA PH,13,104.93,11-23-24,08-29-24,999613,FACEWASH (EMUL),Cleanser (EMUL) (EMUL)
BENZEPRO     MIS 6%,42546-0016-60,MISC,6%,PRUGEN,22,668.19,02-22-22,04-26-21,1605441,FACEWASH (MISC),Cleanser (MISC) (MISC)
SOD SUL/SULF PAD 10-4%,44523-0612-60,PADS,10-4%,BIOCOMPPHA,155,545.15,0:00:00,03-14-22,1000946,FACEWASH (PADS),Cleanser (PADS) (PADS)
SOD SUL/SULF SUS 8-4%,69367-0245-16,SUSP,8-4%,WESTMINST,25.99,493.03,0:00:00,02-28-23,1010234,FACEWASH (SUSP),Cleanser (SUSP) (SUSP)
SOD SUL/SULF SUS 8-4%,52187-0531-16,SUSP,8-4%,KMM PHARMA,103.74,493.03,0:00:00,02-28-22,1010234,FACEWASH (SUSP),Cleanser (SUSP) (SUSP)
SOD SUL/SULF SUS 8-4%,42192-0133-16,SUSP,8-4%,ACELLA PH,24.99,493.03,11-19-24,05-24-23,1010234,FACEWASH (SUSP),Cleanser (SUSP) (SUSP)
FLUOPAR      KIT,59088-0754-00,KIT,,PURE TEK,1050,3735,0:00:00,08-23-21,197311,DIAGNOSTIC KIT (KIT),Diagnostic Kit (KIT) (KIT)
FLOWFLEX     KIT HOME TST,82607-0660-26,KIT,HOME TST,ACON LABOR,13.99,9.99,0:00:00,01-28-22,1426630,DIAGNOSTIC TEST (KIT),Diagnostic Test (KIT) (KIT)
METFORMIN    TAB 1000 ER,70010-0497-09,TB24,1000 ER,GRANULES,49.99,10821,0:00:00,11-06-23,1807888,DIURETIC (TB24),Diuretic (TB24) (TB24)
EPINEPHRINE  INJ 0.3MG,00115-1694-49,SOAJ,0.3MG,AMNEAL,242,494.01,06-07-21,06-07-21,1870230,EMERGENCY TREATMENT (SOAJ),Emergency Treatment (SOAJ) (SOAJ)
EPINEPHRINE  INJ 0.15MG,00115-1695-49,SOAJ,0.15MG,AMNEAL,195.2,494.01,0:00:00,04-08-24,1870225,EMERGENCY TREATMENT (SOAJ),Emergency Treatment (SOAJ) (SOAJ)
UPNEEQ       SOL 0.1%,73687-0062-32,SOLN,0.10%,RVL PHARMA,100,250,0:00:00,07-28-22,2391754,EYE TREATMENT (SOLN),Eye Treatment (SOLN) (SOLN)
LATISSE      SOL 0.03%,00023-3616-70,SOLN,0.03%,ALLERGAN,94.99,154.3,0:00:00,05-10-24,1041497,HAIR GROWTH (SOLN),Hair Growth (SOLN) (SOLN)
MINOXIDIL    AER MEN 5%,51672-2128-04,FOAM,MEN 5%,TARO ,0,23.26,0:00:00,10-22-24,645146,Topical Medication,Hair Growth Foam (FOA)
NYAMYC       POW 100000,00832-0465-15,POWD,100000,UPSH-SMITH,4.49,37.46,0:00:00,05-21-24,584414,HAIR LOSS (POWD),Hair Loss (POWD) (POWD)
QBREXZA      PAD 2.4%,70428-0011-12,PADS,2.40%,DERMIRA,564,774.94,0:00:00,10-19-21,2054120,HYPERHYDROSIS (PADS),Hyperhydrosis (PADS) (PADS)
DRYSOL       SOL 20%,00096-0707-35,SOLN,20%,,7.82,10.2,07-20-22,02-18-23,206208,HYPERHYDROSIS (SOLN),Hyperhydrosis (SOLN) (SOLN)
DRYSOL       SOL 20%,00096-0707-37,SOLN,20%,PERSON COV,7.82,9.37,11-05-24,02-18-23,206208,HYPERHYDROSIS (SOLN),Hyperhydrosis (SOLN) (SOLN)
DRYSOL       SOL 20%,00096-0707-60,SOLN,20%,PERSON COV,11,13.92,0:00:00,02-18-23,206208,HYPERHYDROSIS (SOLN),Hyperhydrosis (SOLN) (SOLN)
OTEZLA       TAB 10/20/30,55513-0369-55,TBPK,10-20-30,AMGEN,4000,5970.5,0:00:00,06-29-24,1605455,IMMUNE RESPONSE MOD (TBPK),Immune Response Mod (TBPK) (TBPK)
CIMZIA       KIT 200MG,50474-0700-62,KIT,200MG,UCB PHARMA,0,6863.03,0:00:00,12-30-23,795085,IMMUNOMODULATOR (KIT),Immunomodulator (KIT) (KIT)
COSENTYX PEN INJ 150MG/ML,00078-0639-68,SOAJ,150MG/ML,NOVARTIS,0,8890.75,0:00:00,01-13-24,1653243,IMMUNOMODULATOR (SOAJ),Immunomodulator (SOAJ) (SOAJ)
SKYRIZI PEN  INJ 150MG/ML,00074-2100-01,SOAJ,150MG/ML,ABBVIE,0,25220.83,0:00:00,03-21-24,2540695,IMMUNOMODULATOR (SOAJ),Immunomodulator (SOAJ) (SOAJ)
COSENTYX     INJ 125/5ML,00078-1168-61,SOLN,125/5ML,NOVARTIS,2115,2563.38,0:00:00,07-06-24,2667423,IMMUNOMODULATOR (SOLN),Immunomodulator (SOLN) (SOLN)
REMICADE     INJ 100MG,57894-0030-01,SOLR,100MG,JANSSEN BI,1239,1401.38,0:00:00,04-11-24,213361,IMMUNOMODULATOR (SOLR),Immunomodulator (SOLR) (SOLR)
DUPIXENT     INJ 300/2ML,00024-5915-00,SOPN,300/2ML,SANOFI PHA,0,2281.92,0:00:00,01-06-24,2375329,IMMUNOMODULATOR (SOPN),Immunomodulator (SOPN) (SOPN)
RINVOQ       TAB 15MG ER,00074-2306-30,TB24,15MG ER,ABBVIE,5758.78,7717.45,0:00:00,01-06-24,2196900,IMMUNOMODULATOR (TB24),Immunomodulator (TB24) (TB24)
ZORYVE       MIS 0.3%,80610-0430-60,FOAM,0.30%,ARCUTIS BI,0,1070.78,0:00:00,06-29-24,2671684,Topical Medication,Immunomodulator Foam (FOA)
HUMIRA PEN   INJ 40/0.4ML,00074-0554-02,PNKT,40/0.4ML,ABBVIE,0,8307.14,0:00:00,02-27-23,1872980,IMMUNOSUPPRESSANT (PNKT),Immunosuppressant (PNKT) (PNKT)
HUMIRA       INJ 40/0.4ML,00074-0243-02,PSKT,40/0.4ML,ABBVIE,0,8307.14,0:00:00,01-07-23,1726846,IMMUNOSUPPRESSANT (PSKT),Immunosuppressant (PSKT) (PSKT)
SIMPONI ARIA SOL 50MG/4ML,57894-0350-01,SOLN,50MG/4ML,JANSSEN BI,0,2399.03,0:00:00,12-16-22,1431647,IMMUNOSUPPRESSANT (SOLN),Immunosuppressant (SOLN) (SOLN)
BP MONITOR   MIS ARM,98302-0148-13,DEVI,ARM,,0,196.73,0:00:00,03-28-23,1368170,"MEDICAL DEVICE, NOT A PHARMACEUTICAL PRODUCT (DEVI)","Medical Device, Not A Pharmaceutical Product (DEVI) (DEVI)"
BP MONITOR   MIS ARM,98302-0148-12,DEVI,ARM,,0,196.73,0:00:00,03-28-23,1311620,"MEDICAL DEVICE, NOT A PHARMACEUTICAL PRODUCT (DEVI)","Medical Device, Not A Pharmaceutical Product (DEVI) (DEVI)"
BP MONITOR   MIS ARM,98302-0148-12,DEVI,ARM,,0,196.73,0:00:00,03-28-23,1311620,"MEDICAL DEVICE, NOT A PHARMACEUTICAL PRODUCT (DEVI)","Medical Device, Not A Pharmaceutical Product (DEVI) (DEVI)"
